,time,temperature_2m (°F),relativehumidity_2m (%),dewpoint_2m (°F),apparent_temperature (°F),pressure_msl (hPa),surface_pressure (hPa),precipitation (inch),rain (inch),snowfall (inch),weathercode (wmo code),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (mp/h),windspeed_100m (mp/h),chilled_water,steam,electricity,temperature_2m (°F)^2,temperature_2m (°F)^3
0,2021-05-01 00:00:00-04:00,37.4,77,30.9,27.8,1011.7,976.6,0.008,0.004,0.028,71,100,99,98,50,0,0,0,0.0,13.2,22.9,2451.87975,147.6840857,21.18099,1398.76,52313.623999999996
1,2021-05-01 01:00:00-04:00,37.0,76,30.1,27.4,1012.5,977.4,0.004,0.0,0.028,71,100,92,99,8,0,0,0,0.0,13.0,25.2,2385.74125,147.6142,21.04637,1369.0,50653.0
2,2021-05-01 02:00:00-04:00,37.0,74,29.6,26.7,1013.3,978.2,0.0,0.0,0.0,3,100,99,99,0,0,0,0,0.0,14.6,25.6,2314.83125,151.6491556,20.7945725,1369.0,50653.0
3,2021-05-01 03:00:00-04:00,36.4,85,32.3,27.5,1014.0,978.8,0.0,0.0,0.0,3,100,95,87,0,0,0,0,0.0,12.2,20.8,2319.18375,147.7749625,20.7552075,1324.9599999999998,48228.543999999994
4,2021-05-01 04:00:00-04:00,36.8,83,32.0,28.3,1014.9,979.7,0.0,0.0,0.0,3,100,94,76,0,0,0,0,0.0,10.9,19.5,2361.69675,150.3488429,20.69911,1354.2399999999998,49836.03199999999
5,2021-05-01 05:00:00-04:00,37.0,75,29.7,28.0,1016.0,980.8,0.0,0.0,0.0,3,94,82,33,0,0,0,0,0.0,11.6,20.0,2318.0075,159.1243556,21.16367,1369.0,50653.0
6,2021-05-01 06:00:00-04:00,37.0,69,27.7,28.9,1016.8,981.5,0.0,0.0,0.0,1,27,27,4,0,0,0,0,0.0,8.7,13.8,2265.19075,164.600975,21.7627925,1369.0,50653.0
7,2021-05-01 07:00:00-04:00,36.7,67,26.7,28.0,1017.9,982.6,0.0,0.0,0.0,0,7,8,0,0,41,21,20,0.0,9.8,15.5,2467.3445,163.95425,22.6181575,1346.89,49430.86300000001
8,2021-05-01 08:00:00-04:00,37.3,61,25.1,28.1,1018.0,982.7,0.0,0.0,0.0,0,11,12,0,0,199,136,63,387.0,10.5,15.7,2505.53,169.3128625,23.2583825,1391.2899999999997,51895.11699999999
9,2021-05-01 09:00:00-04:00,39.4,57,25.4,30.7,1018.7,983.5,0.0,0.0,0.0,0,4,4,0,0,423,348,75,660.1,9.3,13.8,2430.168,160.497025,22.9366025,1552.36,61162.984
10,2021-05-01 10:00:00-04:00,42.1,53,26.0,34.6,1018.4,983.4,0.0,0.0,0.0,0,0,0,0,0,616,529,87,842.9,8.2,11.7,2534.826,140.9078,23.5988075,1772.41,74618.46100000001
11,2021-05-01 11:00:00-04:00,45.2,47,26.4,39.9,1018.2,983.5,0.0,0.0,0.0,0,0,0,0,0,777,681,96,904.8,7.2,10.1,2660.5875,129.333975,23.19304,2043.0400000000002,92345.40800000001
12,2021-05-01 12:00:00-04:00,48.3,42,26.3,44.8,1017.6,983.1,0.0,0.0,0.0,0,0,0,0,0,893,792,101,941.9,6.0,8.2,2643.6035,115.4216875,23.4121475,2332.89,112678.58699999998
13,2021-05-01 13:00:00-04:00,51.2,38,26.5,48.8,1016.2,981.9,0.0,0.0,0.0,0,0,0,0,0,956,853,103,962.8,5.0,6.9,3044.5465,104.5864714,23.3574975,2621.4400000000005,134217.72800000003
14,2021-05-01 14:00:00-04:00,54.0,35,27.0,51.6,1015.4,981.3,0.0,0.0,0.0,0,13,0,0,44,959,857,102,971.5,5.3,7.6,3183.74575,97.76387333,23.11934,2916.0,157464.0
15,2021-05-01 15:00:00-04:00,55.2,35,27.9,53.0,1013.7,979.8,0.0,0.0,0.0,0,17,0,0,55,899,798,101,963.6,4.1,5.7,3257.91225,92.66376857,23.0694025,3047.0400000000004,168196.60800000004
16,2021-05-01 16:00:00-04:00,56.7,34,28.8,53.3,1012.6,978.8,0.0,0.0,0.0,0,11,0,5,28,785,688,97,939.5,3.9,5.5,3816.144,84.85213,22.9712175,3214.8900000000003,182284.26300000004
17,2021-05-01 17:00:00-04:00,58.0,34,29.9,52.5,1011.3,977.6,0.0,0.0,0.0,0,16,0,27,0,623,530,93,897.2,5.1,7.6,4120.44975,79.49364,22.853265,3364.0,195112.0
18,2021-05-01 18:00:00-04:00,58.5,38,32.6,53.2,1009.3,975.7,0.0,0.0,0.0,1,29,0,49,0,399,300,99,755.1,3.7,7.1,4587.3675,76.03992714,22.860625,3422.25,200201.625
19,2021-05-01 19:00:00-04:00,56.7,51,38.9,53.0,1008.4,974.7,0.0,0.0,0.0,1,45,0,75,0,240,183,57,654.3,2.8,5.8,4475.63675,76.11208625,22.797595,3214.8900000000003,182284.26300000004
20,2021-05-01 20:00:00-04:00,53.1,56,37.8,48.1,1007.5,973.6,0.0,0.0,0.0,1,32,0,47,12,63,39,24,439.3,4.9,9.8,4161.95925,83.2376625,22.5203275,2819.61,149721.29100000003
21,2021-05-01 21:00:00-04:00,51.3,55,35.4,46.3,1007.9,973.9,0.0,0.0,0.0,3,81,0,91,89,0,0,0,0.4,4.0,9.0,3838.63,83.48197889,22.1704825,2631.6899999999996,135005.697
22,2021-05-01 22:00:00-04:00,50.4,57,36.0,45.3,1007.5,973.5,0.0,0.0,0.0,2,56,0,62,64,0,0,0,0.0,4.7,9.0,3794.523,85.79060143,21.44459,2540.16,128024.06399999998
23,2021-05-01 23:00:00-04:00,50.2,61,37.2,45.2,1007.0,973.0,0.0,0.0,0.0,1,31,0,51,1,0,0,0,0.0,4.9,10.7,3680.27575,87.06480375,20.9228975,2520.0400000000004,126506.00800000002
24,2021-05-02 00:00:00-04:00,50.6,62,37.9,44.6,1006.4,972.4,0.0,0.0,0.0,0,20,0,33,0,0,0,0,0.0,7.7,16.2,3461.95775,81.67624,20.5332,2560.36,129554.21600000001
25,2021-05-02 01:00:00-04:00,51.3,60,38.0,45.0,1005.8,971.9,0.0,0.0,0.0,2,58,0,97,0,0,0,0,0.0,8.4,18.1,3489.45325,81.389285,20.327575,2631.6899999999996,135005.697
26,2021-05-02 02:00:00-04:00,52.5,58,38.3,46.5,1004.8,971.0,0.0,0.0,0.0,1,44,0,73,0,0,0,0,0.0,7.9,17.0,3454.937,81.203065,20.22147,2756.25,144703.125
27,2021-05-02 03:00:00-04:00,53.8,54,37.4,47.7,1004.2,970.5,0.0,0.0,0.0,1,23,0,27,22,0,0,0,0.0,7.6,16.5,3464.6625,83.7375425,20.0193975,2894.4399999999996,155720.87199999997
28,2021-05-02 04:00:00-04:00,53.4,56,38.2,47.5,1004.1,970.4,0.0,0.0,0.0,1,23,3,8,53,0,0,0,0.0,7.5,16.8,3461.668,90.81870143,20.21547,2851.56,152273.30399999997
29,2021-05-02 05:00:00-04:00,52.7,60,39.3,47.0,1004.2,970.4,0.0,0.0,0.0,0,19,0,0,62,0,0,0,0.0,7.5,16.9,3384.107,91.88906556,20.5132675,2777.2900000000004,146363.18300000002
30,2021-05-02 06:00:00-04:00,52.0,65,40.5,46.7,1004.3,970.5,0.0,0.0,0.0,0,17,0,0,58,0,0,0,0.0,7.0,16.4,3550.1885,97.0157075,20.8969575,2704.0,140608.0
31,2021-05-02 07:00:00-04:00,52.5,70,43.2,47.9,1004.8,971.0,0.0,0.0,0.0,0,11,0,0,35,45,22,23,0.0,6.8,15.3,3839.26075,81.93610875,21.9095525,2756.25,144703.125
32,2021-05-02 08:00:00-04:00,56.8,72,47.9,53.9,1005.6,972.0,0.0,0.0,0.0,0,2,0,3,0,201,137,64,387.7,5.7,13.0,4966.469,72.47877125,22.2786025,3226.24,183250.43199999997
33,2021-05-02 09:00:00-04:00,62.4,64,50.3,60.3,1005.9,972.7,0.0,0.0,0.0,1,25,0,8,66,396,317,79,621.9,5.1,9.4,5503.646,66.83131375,22.7212,3893.7599999999998,242970.62399999998
34,2021-05-02 10:00:00-04:00,66.4,61,52.4,64.0,1006.2,973.2,0.0,0.0,0.0,3,93,19,78,98,582,474,108,769.0,8.2,12.9,6165.097,66.97112,22.9749175,4408.960000000001,292754.9440000001
35,2021-05-02 11:00:00-04:00,68.2,60,53.7,66.5,1006.5,973.6,0.008,0.008,0.0,51,84,31,44,99,563,359,204,657.2,7.0,10.9,6353.378,67.9215625,23.40362125,4651.240000000001,317214.568
36,2021-05-02 12:00:00-04:00,66.2,70,56.3,65.4,1006.4,973.4,0.031,0.031,0.0,53,100,53,51,83,378,69,309,277.7,6.7,9.8,6105.77725,70.4815475,23.60151,4382.4400000000005,290117.52800000005
37,2021-05-02 13:00:00-04:00,64.0,80,57.7,63.2,1007.2,974.0,0.035,0.035,0.0,53,100,96,96,78,270,34,236,46.0,8.0,12.1,5831.63475,72.36234222,23.779855,4096.0,262144.0
38,2021-05-02 14:00:00-04:00,61.4,86,57.3,60.7,1007.6,974.3,0.02,0.02,0.0,53,100,99,88,48,222,0,222,15.2,7.4,11.6,5046.817,90.17467,23.8799525,3769.96,231475.544
39,2021-05-02 15:00:00-04:00,62.9,69,52.4,60.8,1008.2,974.9,0.008,0.008,0.0,51,100,99,81,69,296,51,245,30.9,6.6,10.7,4294.26275,92.99119,23.68702,3956.41,248858.18899999998
40,2021-05-02 16:00:00-04:00,61.4,70,51.4,59.7,1008.6,975.2,0.02,0.02,0.0,53,100,43,67,77,177,0,177,26.2,5.2,9.6,4804.99525,74.5120575,23.58515,3769.96,231475.544
41,2021-05-02 17:00:00-04:00,61.0,70,51.1,59.9,1008.8,975.4,0.008,0.008,0.0,51,57,2,62,61,243,115,128,91.2,3.3,6.3,4449.52425,74.85262,23.48574,3721.0,226981.0
42,2021-05-02 18:00:00-04:00,60.0,73,51.2,58.1,1008.6,975.1,0.0,0.0,0.0,1,37,2,39,39,169,57,112,155.9,5.3,9.5,4777.25275,72.81597143,23.313165,3600.0,216000.0
43,2021-05-02 19:00:00-04:00,58.9,78,52.0,57.8,1008.9,975.4,0.0,0.0,0.0,0,13,0,3,36,144,81,63,201.4,4.1,8.5,4435.63725,76.26961875,23.0153375,3469.21,204336.46899999998
44,2021-05-02 20:00:00-04:00,56.1,87,52.2,55.4,1009.6,975.9,0.0,0.0,0.0,0,17,2,6,39,52,26,26,229.3,3.4,8.1,4182.04175,81.71190444,22.8106875,3147.21,176558.481
45,2021-05-02 21:00:00-04:00,53.2,93,51.3,52.1,1010.1,976.2,0.0,0.0,0.0,1,31,0,26,52,0,0,0,0.7,3.6,7.9,3811.8035,87.136335,22.56467,2830.2400000000002,150568.768
46,2021-05-02 22:00:00-04:00,51.9,96,50.9,50.6,1010.7,976.7,0.0,0.0,0.0,1,36,0,21,78,0,0,0,0.0,3.6,7.6,3480.98125,90.27071714,21.66715143,2693.6099999999997,139798.359
47,2021-05-02 23:00:00-04:00,50.6,98,50.0,49.3,1010.5,976.4,0.0,0.0,0.0,1,42,0,24,93,0,0,0,0.0,3.2,7.8,3269.877,91.97802,21.20533,2560.36,129554.21600000001
48,2021-05-03 00:00:00-04:00,50.1,98,49.5,48.6,1010.5,976.3,0.0,0.0,0.0,1,41,0,19,100,0,0,0,0.0,3.2,8.0,3088.41725,92.97272,20.714975,2510.01,125751.501
49,2021-05-03 01:00:00-04:00,49.8,97,49.0,48.1,1010.7,976.5,0.0,0.0,0.0,1,42,0,21,98,0,0,0,0.0,3.5,8.3,3007.20125,89.65511857,20.6477325,2480.0399999999995,123505.99199999998
50,2021-05-03 02:00:00-04:00,49.4,98,48.7,47.5,1010.6,976.4,0.0,0.0,0.0,1,35,0,39,37,0,0,0,0.0,3.6,8.4,2643.61925,96.31334375,20.4171675,2440.3599999999997,120553.78399999999
51,2021-05-03 03:00:00-04:00,50.7,92,48.5,48.5,1010.2,976.1,0.0,0.0,0.0,2,61,3,51,92,0,0,0,0.0,4.2,10.1,2781.61825,90.9278525,20.3865575,2570.4900000000002,130323.84300000002
52,2021-05-03 04:00:00-04:00,50.4,92,48.0,48.1,1010.0,975.9,0.0,0.0,0.0,2,62,8,41,100,0,0,0,0.0,4.0,10.8,2859.47975,98.8206525,20.61184375,2540.16,128024.06399999998
53,2021-05-03 05:00:00-04:00,50.4,90,47.5,47.7,1010.1,976.0,0.0,0.0,0.0,2,50,8,22,100,0,0,0,0.0,4.7,11.7,2810.73,114.0790667,21.31968,2540.16,128024.06399999998
54,2021-05-03 06:00:00-04:00,49.9,88,46.5,46.4,1009.8,975.7,0.0,0.0,0.0,1,39,5,8,100,0,0,0,0.0,6.0,13.4,3044.85075,114.2927429,22.60741,2490.0099999999998,124251.499
55,2021-05-03 07:00:00-04:00,50.9,84,46.2,47.1,1010.0,975.9,0.0,0.0,0.0,1,36,3,5,100,28,3,25,0.0,6.7,15.0,2895.00875,269.6777667,23.62663,2590.81,131872.229
56,2021-05-03 08:00:00-04:00,53.8,79,47.4,50.3,1010.1,976.2,0.0,0.0,0.0,1,31,0,2,100,112,12,100,38.3,6.7,14.0,3148.434,269.4969286,24.6369625,2894.4399999999996,155720.87199999997
57,2021-05-03 09:00:00-04:00,57.4,73,48.9,54.5,1009.9,976.2,0.0,0.0,0.0,1,34,0,7,100,230,42,188,69.8,6.1,12.7,3894.434,258.7675375,25.45304,3294.7599999999998,189119.224
58,2021-05-03 10:00:00-04:00,60.6,72,51.6,58.7,1009.0,975.6,0.0,0.0,0.0,1,36,0,10,99,290,49,241,88.7,5.7,9.1,4911.98,255.5522,25.91057,3672.36,222545.016
59,2021-05-03 12:00:00-04:00,65.5,73,56.7,65.6,1008.5,975.4,0.0,0.0,0.0,3,87,0,95,100,510,151,359,136.3,4.7,7.4,6302.102,248.1035,26.04871,4290.25,281011.375
60,2021-05-03 13:00:00-04:00,66.4,73,57.6,66.9,1008.1,975.1,0.0,0.0,0.0,3,100,14,99,100,502,188,314,195.0,4.8,7.5,6160.09,250.5360778,26.35733556,4408.960000000001,292754.9440000001
61,2021-05-03 14:00:00-04:00,67.5,71,57.6,68.2,1007.7,974.7,0.0,0.0,0.0,3,100,12,99,99,590,294,296,286.0,5.1,8.5,6317.539778,113.581945,26.2768825,4556.25,307546.875
62,2021-05-03 15:00:00-04:00,64.9,83,59.8,66.8,1007.0,973.9,0.016,0.016,0.0,51,99,10,100,100,217,0,217,173.3,3.4,8.1,6545.264714,79.9709975,26.49266857,4212.010000000001,273359.4490000001
63,2021-05-03 16:00:00-04:00,65.6,81,59.7,67.0,1006.3,973.3,0.012,0.012,0.0,51,94,4,100,100,249,3,246,0.3,4.4,9.4,6403.3815,84.24819375,26.01075,4303.36,282300.4159999999
64,2021-05-03 17:00:00-04:00,65.2,85,60.4,66.7,1005.8,972.8,0.008,0.008,0.0,51,96,7,100,100,221,9,212,9.9,4.8,11.0,6306.9745,88.88154,25.4151625,4251.04,277167.808
65,2021-05-03 18:00:00-04:00,63.7,89,60.4,65.3,1005.6,972.5,0.008,0.008,0.0,51,100,28,100,99,85,0,85,7.0,4.6,10.3,5857.243,87.26224857,25.2050975,4057.6900000000005,258474.85300000003
66,2021-05-03 19:00:00-04:00,61.7,99,61.4,63.6,1004.9,971.7,0.012,0.012,0.0,51,100,54,100,98,66,6,60,9.3,4.9,11.6,5206.653,92.18485778,24.4769275,3806.8900000000003,234885.11300000004
67,2021-05-03 20:00:00-04:00,60.2,97,59.3,61.2,1005.1,971.8,0.012,0.012,0.0,51,73,0,72,99,25,3,22,21.1,4.9,11.8,4625.23025,109.9825857,24.0490025,3624.0400000000004,218167.20800000004
68,2021-05-03 21:00:00-04:00,59.5,100,59.5,60.3,1005.5,972.1,0.004,0.004,0.0,51,99,10,100,100,0,0,0,0.0,5.8,13.0,4070.84525,94.59359125,23.1796575,3540.25,210644.875
69,2021-05-03 22:00:00-04:00,58.6,100,58.5,59.0,1005.7,972.3,0.0,0.0,0.0,3,100,56,94,98,0,0,0,0.0,5.9,13.1,3935.15875,93.8101325,22.3114125,3433.96,201230.056
70,2021-05-03 23:00:00-04:00,57.8,100,57.8,57.7,1005.5,972.0,0.0,0.0,0.0,3,100,86,77,22,0,0,0,0.0,6.4,13.6,3866.07125,92.99788556,21.5141975,3340.8399999999997,193100.55199999997
71,2021-05-04 00:00:00-04:00,57.1,100,57.0,56.7,1005.2,971.7,0.0,0.0,0.0,3,100,94,90,0,0,0,0,0.0,6.3,13.6,3598.4825,88.4776225,21.0207125,3260.4100000000003,186169.41100000002
72,2021-05-04 01:00:00-04:00,56.4,100,56.3,55.7,1005.1,971.5,0.0,0.0,0.0,3,100,91,91,20,0,0,0,0.0,6.3,13.8,3628.6335,89.34665,20.74614,3180.96,179406.144
73,2021-05-04 02:00:00-04:00,55.8,100,55.8,54.9,1004.6,971.0,0.008,0.008,0.0,51,100,74,77,59,0,0,0,0.0,6.3,13.8,3591.52475,88.298355,20.524405,3113.64,173741.11199999996
74,2021-05-04 03:00:00-04:00,55.4,98,54.9,54.5,1004.4,970.8,0.0,0.0,0.0,3,100,74,81,83,0,0,0,0.0,5.8,12.7,3537.9015,89.885975,20.39304,3069.16,170031.46399999998
75,2021-05-04 04:00:00-04:00,55.5,98,55.0,54.7,1004.0,970.4,0.008,0.008,0.0,51,100,98,95,87,0,0,0,0.0,5.6,12.0,3615.66725,93.02384286,20.6939575,3080.25,170953.875
76,2021-05-04 05:00:00-04:00,55.7,98,55.2,55.1,1004.0,970.4,0.008,0.008,0.0,51,100,100,100,18,0,0,0,0.0,5.2,11.6,3676.14575,96.69355222,21.3332525,3102.4900000000002,172808.69300000003
77,2021-05-04 06:00:00-04:00,55.8,99,55.5,55.8,1004.0,970.4,0.0,0.0,0.0,3,100,100,90,86,0,0,0,0.0,4.3,10.3,4113.91475,104.5893014,22.625775,3113.64,173741.11199999996
78,2021-05-04 07:00:00-04:00,56.4,99,56.0,56.6,1004.7,971.1,0.0,0.0,0.0,3,100,97,62,9,5,0,5,0.0,4.1,9.7,4131.36475,99.32396,23.686865,3180.96,179406.144
79,2021-05-04 08:00:00-04:00,57.6,98,57.0,58.2,1005.1,971.6,0.0,0.0,0.0,3,100,100,35,0,29,1,28,0.2,3.8,8.0,4354.08025,95.12180875,23.113635,3317.76,191102.97600000002
80,2021-05-04 09:00:00-04:00,59.6,97,58.6,60.9,1005.5,972.1,0.0,0.0,0.0,3,99,100,15,0,96,30,66,34.4,3.7,7.0,5079.710444,92.97519333,23.87680111,3552.1600000000003,211708.736
81,2021-05-04 10:00:00-04:00,63.4,89,60.1,65.0,1005.3,972.2,0.0,0.0,0.0,3,91,100,2,0,219,46,173,76.0,4.4,8.5,6851.928143,88.08829571,24.56439571,4019.56,254840.104
82,2021-05-04 11:00:00-04:00,65.1,86,60.9,66.7,1006.2,973.1,0.0,0.0,0.0,3,100,100,1,33,214,13,201,45.7,5.1,10.1,7147.435875,88.202265,24.79838,4238.009999999999,275894.45099999994
83,2021-05-04 12:00:00-04:00,66.6,82,60.9,69.0,1005.9,972.9,0.0,0.0,0.0,3,100,100,1,98,229,45,184,32.8,3.1,6.0,8333.52525,79.10766667,24.6582375,4435.5599999999995,295408.2959999999
84,2021-05-04 13:00:00-04:00,68.6,75,60.5,70.4,1005.5,972.7,0.0,0.0,0.0,3,88,98,0,0,318,49,269,50.9,4.3,7.0,9341.212,77.27585625,24.8119825,4705.959999999999,322828.8559999999
85,2021-05-04 14:00:00-04:00,71.7,67,60.3,74.0,1005.1,972.5,0.0,0.0,0.0,3,100,89,15,43,476,159,317,118.9,2.9,5.4,9925.414,76.83896143,25.0888325,5140.89,368601.813
86,2021-05-04 15:00:00-04:00,73.8,65,61.2,76.7,1004.0,971.5,0.0,0.0,0.0,3,100,76,77,100,407,94,313,147.1,2.2,4.3,10318.45,76.99124667,26.24441,5446.44,401947.27199999994
87,2021-05-04 16:00:00-04:00,73.9,67,62.1,77.3,1003.8,971.4,0.004,0.004,0.0,51,100,53,81,100,343,150,193,153.2,2.0,4.7,10624.1025,77.7251375,26.3311575,5461.210000000001,403583.4190000001
88,2021-05-04 17:00:00-04:00,73.1,74,64.3,76.7,1003.1,970.6,0.031,0.031,0.0,53,100,95,90,99,247,101,146,188.5,3.7,6.1,11071.2375,77.68887,25.217825,5343.609999999999,390617.8909999999
89,2021-05-04 18:00:00-04:00,70.6,86,66.3,75.5,1002.5,969.9,0.016,0.016,0.0,51,55,10,42,70,148,28,120,111.8,2.9,6.2,11094.7275,77.513765,25.0912875,4984.359999999999,351895.81599999993
90,2021-05-04 19:00:00-04:00,68.7,91,66.1,73.3,1002.5,969.8,0.0,0.0,0.0,2,57,19,19,96,72,5,67,32.8,3.4,7.0,10861.0475,76.87876571,24.699055,4719.6900000000005,324242.70300000004
91,2021-05-04 20:00:00-04:00,67.0,95,65.5,70.8,1002.5,969.7,0.0,0.0,0.0,2,79,24,49,93,26,7,19,29.4,4.6,7.8,9830.1285,77.66829125,24.15062,4489.0,300763.0
92,2021-05-04 21:00:00-04:00,65.5,100,65.4,69.2,1004.5,971.5,0.008,0.008,0.0,51,100,64,94,98,0,0,0,0.5,4.7,12.1,8580.499,74.00022111,23.10346,4290.25,281011.375
93,2021-05-04 22:00:00-04:00,64.7,100,64.6,68.3,1004.8,971.8,0.024,0.024,0.0,53,100,53,78,65,0,0,0,0.0,4.1,11.0,7927.5245,72.92396375,22.31376,4186.09,270840.02300000004
94,2021-05-04 23:00:00-04:00,63.9,100,63.9,67.1,1004.3,971.2,0.039,0.039,0.0,55,100,54,82,75,0,0,0,0.0,4.5,8.3,7057.04525,73.1531075,21.64951,4083.21,260917.11899999998
95,2021-05-05 00:00:00-04:00,63.2,100,63.2,66.2,1004.5,971.4,0.047,0.047,0.0,55,100,53,88,96,0,0,0,0.0,4.0,9.9,6567.70425,77.30776,21.1729275,3994.2400000000002,252435.96800000002
96,2021-05-05 01:00:00-04:00,62.6,100,62.6,65.4,1005.0,971.8,0.043,0.043,0.0,55,100,62,95,12,0,0,0,0.0,3.9,10.3,6046.45525,78.1348475,20.8312175,3918.76,245314.37600000002
97,2021-05-05 02:00:00-04:00,61.8,100,61.8,64.4,1005.0,971.8,0.039,0.039,0.0,55,100,68,100,96,0,0,0,0.0,3.6,9.2,5651.5305,78.84250125,20.6171575,3819.24,236029.03199999998
98,2021-05-05 03:00:00-04:00,61.1,100,61.1,63.0,1005.0,971.7,0.004,0.004,0.0,51,100,91,32,99,0,0,0,0.0,4.5,10.4,5541.80975,79.33961125,20.3945375,3733.21,228099.13100000002
99,2021-05-05 04:00:00-04:00,60.5,100,60.5,61.9,1005.4,972.1,0.004,0.004,0.0,51,100,100,67,100,0,0,0,0.0,5.2,11.6,5491.61125,80.945605,20.58396125,3660.25,221445.125
100,2021-05-05 05:00:00-04:00,59.5,100,59.5,60.5,1005.7,972.3,0.0,0.0,0.0,3,100,100,76,97,0,0,0,0.0,5.4,11.7,5561.543875,87.99367375,21.24311375,3540.25,210644.875
101,2021-05-05 06:00:00-04:00,58.4,100,58.4,58.9,1006.2,972.7,0.004,0.004,0.0,51,100,100,58,99,0,0,0,0.0,5.3,10.7,4020.98425,124.6106778,22.381465,3410.56,199176.704
102,2021-05-05 07:00:00-04:00,56.8,100,56.8,56.2,1006.8,973.2,0.004,0.004,0.0,51,100,100,44,99,7,0,7,0.0,6.8,12.0,3741.42175,109.2114571,23.75229375,3226.24,183250.43199999997
103,2021-05-05 08:00:00-04:00,54.7,99,54.3,53.4,1006.8,973.1,0.004,0.004,0.0,51,100,100,87,36,29,0,29,0.0,6.2,11.1,3571.82975,109.6343125,24.788255,2992.09,163667.32300000003
104,2021-05-05 09:00:00-04:00,54.8,100,54.7,54.0,1007.3,973.6,0.008,0.008,0.0,51,100,100,100,100,64,1,63,0.5,5.2,9.4,3520.419,114.9981889,25.7681275,3003.0399999999995,164566.59199999998
105,2021-05-05 10:00:00-04:00,54.2,100,54.1,53.3,1008.0,974.2,0.012,0.012,0.0,51,100,100,100,100,106,7,99,7.3,5.3,9.6,3433.42375,115.7171429,26.571255,2937.6400000000003,159220.08800000002
106,2021-05-05 11:00:00-04:00,53.1,100,53.1,51.3,1008.6,974.7,0.012,0.012,0.0,51,100,100,100,100,111,1,110,6.9,6.7,11.3,3282.08725,121.4202125,26.798405,2819.61,149721.29100000003
107,2021-05-05 12:00:00-04:00,52.0,100,51.9,49.7,1009.0,975.0,0.008,0.008,0.0,51,100,100,100,100,141,0,141,0.2,6.8,11.9,3173.08025,116.5180625,26.7666925,2704.0,140608.0
108,2021-05-05 13:00:00-04:00,50.6,94,49.1,47.4,1009.1,975.0,0.004,0.004,0.0,51,100,100,100,97,173,2,171,0.3,7.0,12.7,2845.04875,113.5979111,26.65211444,2560.36,129554.21600000001
109,2021-05-05 14:00:00-04:00,51.3,91,48.6,47.5,1009.5,975.5,0.0,0.0,0.0,3,100,100,98,72,238,18,220,11.8,8.1,13.6,2880.7195,113.0453571,26.59988286,2631.6899999999996,135005.697
110,2021-05-05 15:00:00-04:00,50.4,95,49.0,46.4,1009.6,975.5,0.008,0.008,0.0,51,100,100,92,10,175,5,170,13.4,8.9,15.0,2841.99025,113.05365,26.1572425,2540.16,128024.06399999998
111,2021-05-05 16:00:00-04:00,50.7,92,48.5,46.6,1010.0,975.9,0.0,0.0,0.0,3,100,92,63,25,208,14,194,10.8,8.7,14.7,2876.5485,113.6931625,25.651635,2570.4900000000002,130323.84300000002
112,2021-05-05 17:00:00-04:00,50.9,88,47.6,46.4,1010.5,976.4,0.004,0.004,0.0,51,100,98,55,33,189,23,166,27.5,9.2,15.1,2834.4475,105.7853625,25.39916,2590.81,131872.229
113,2021-05-05 18:00:00-04:00,51.2,84,46.6,46.8,1011.0,976.9,0.004,0.004,0.0,51,100,98,20,30,162,22,140,43.7,8.1,14.4,2783.8465,108.0847889,24.6548925,2621.4400000000005,134217.72800000003
114,2021-05-05 19:00:00-04:00,50.7,81,45.2,45.9,1011.3,977.2,0.004,0.004,0.0,51,96,81,24,29,88,5,83,32.0,8.5,15.2,2749.66575,113.6624875,24.1685475,2570.4900000000002,130323.84300000002
115,2021-05-05 20:00:00-04:00,50.1,79,43.7,44.5,1012.4,978.2,0.0,0.0,0.0,3,86,69,38,5,28,4,24,20.6,9.5,16.9,2682.52075,110.3760143,23.643255,2510.01,125751.501
116,2021-05-05 21:00:00-04:00,49.8,77,43.0,43.9,1013.2,978.9,0.0,0.0,0.0,3,98,75,51,0,0,0,0,0.3,9.8,17.3,2651.19425,113.8061667,22.910435,2480.0399999999995,123505.99199999998
117,2021-05-05 22:00:00-04:00,49.0,79,42.6,43.0,1014.1,979.7,0.0,0.0,0.0,3,100,73,59,0,0,0,0,0.0,9.9,17.7,2578.22575,114.5236875,21.79438,2401.0,117649.0
118,2021-05-05 23:00:00-04:00,48.6,80,42.5,42.3,1014.6,980.2,0.0,0.0,0.0,2,75,63,31,0,0,0,0,0.0,10.4,18.1,2520.547,111.3329125,21.2768525,2361.96,114791.25600000001
119,2021-05-06 00:00:00-04:00,47.9,81,42.3,41.4,1014.9,980.4,0.0,0.0,0.0,3,95,85,30,0,0,0,0,0.0,10.9,18.9,2496.2105,112.7819429,20.79516875,2294.41,109902.23899999999
120,2021-05-06 01:00:00-04:00,47.1,83,42.1,40.5,1015.5,981.0,0.0,0.0,0.0,3,90,73,40,0,0,0,0,0.0,10.9,18.7,2496.29575,116.5619556,20.7377375,2218.4100000000003,104487.111
121,2021-05-06 02:00:00-04:00,46.4,84,41.8,40.2,1015.6,981.0,0.0,0.0,0.0,2,60,42,37,0,0,0,0,0.0,9.8,17.1,2376.3665,120.930225,20.607635,2152.96,99897.344
